species,kappa,chemical,cas,axis,tier,EC50_ugL,n_records,endpoint
Daphnia_magna,0.581,carbaryl,63252,maintenance,stratum,16.08,26,GRO/PHY
Mytilus_edulis,0.996,carbaryl,63252,maintenance,stratum,16000.0,7,GRO/PHY
Crassostrea_virginica,0.681,chlorpyrifos,2921882,maintenance,stratum,733.2,2,GRO/PHY
Daphnia_magna,0.581,chlorpyrifos,2921882,maintenance,stratum,0.25,1,GRO/PHY
Mytilus_galloprovincialis,0.477,chlorpyrifos,2921882,maintenance,stratum,39.12,2,GRO/PHY
Pimephales_promelas,0.933,chlorpyrifos,2921882,maintenance,stratum,54.9,1,GRO/PHY
Chironomus_riparius,0.442,diazinon,333415,maintenance,stratum,44.91,2,GRO/PHY
Crassostrea_virginica,0.681,diazinon,333415,maintenance,stratum,1150.0,1,GRO/PHY
Daphnia_magna,0.581,diazinon,333415,maintenance,stratum,0.5399,2,GRO/PHY
Pimephales_promelas,0.933,dinitrophenol_2-4,51285,maintenance,core,5250.0,3,GRO/PHY
Xenopus_laevis,0.771,malathion,121755,maintenance,stratum,330.0,1,GRO/PHY
Xenopus_laevis,0.771,pyridine,110861,maintenance,core,1.35e6,5,GRO/PHY
Pimephales_promelas,0.933,zinc,7440666,maintenance,stratum,152.6,2,GRO/PHY
Daphnia_magna,0.581,DDT_pp,50293,reproduction,stratum,0.61,3,REP
Oncorhynchus_kisutch,0.964,DDT_pp,50293,reproduction,stratum,2.4,1,REP
Strongylocentrotus_droebachiensis,0.811,DDT_pp,50293,reproduction,stratum,3.0,3,REP
Strongylocentrotus_purpuratus,0.772,DDT_pp,50293,reproduction,stratum,1.3,1,REP
Danio_rerio,0.358,bisphenol_A,80057,reproduction,core,5250.0,3,REP
Daphnia_magna,0.581,bisphenol_A,80057,reproduction,core,7300.0,1,REP
Gammarus_fossarum,0.881,bisphenol_A,80057,reproduction,core,567.0,2,REP
Pimephales_promelas,0.933,estradiol_17b,50282,reproduction,core,0.12,1,REP
Danio_rerio,0.358,ethinylestradiol_17a,57636,reproduction,core,0.0011,1,REP
Daphnia_magna,0.581,ethinylestradiol_17a,57636,reproduction,core,105.0,1,REP
Hyalella_azteca,0.875,ethinylestradiol_17a,57636,reproduction,core,360.0,1,REP
Daphnia_magna,0.581,fluoranthene,206440,reproduction,stratum,66.57,2,REP
Daphnia_magna,0.581,nonylphenol_4,104405,reproduction,core,61.28,4,REP
